Influencer (en),Influencer (ar),رخصة موثوق,رابط الاستعلام,
Faisal Alabdulkarim,فيصل العبدالكريم,TRUE,على تويتر و سناب,
Sara 666,سارا 666,TRUE,,
Dwea Alajmi,دويع العجمي,FALSE,لايوجد,
Shimaa Ali,شيماء علي,FALSE,لايوجدغير سعودي و غير مقيم,
Njla Alghamdi,نجلا الغامدي l نجاح الغامدي,TRUE,,
Amal Ibrahim,امل ابراهيم,FALSE,لايوجد,
Alya Khalil,عاليه خليل,TRUE,,
Abu Saad,ابو سعد,FALSE,لايوجد,
Heba Rumhein,هبه رمحين,FALSE,لايوجد,
LOL RD,لول ار دي,TRUE,,تم
Bader Alantonio,بدر ال انطونيو,TRUE,فقط على سناب,تم
Nada Alghazi,ندى الغازي,TRUE,فقط على سناب,تم
Burjek Alyom,برجك اليوم,TRUE,,تم
Shoug Abdulaziz,شوق عبدالعزيز,TRUE,,تم
Dhafir Alasbli,ظافر العسبلي,FALSE,لايوجد,تم
Mohamed Aljnobi,محمد الجنوبي,FALSE,لايوجد,تم
Ghadeer Alsharyoufi,غدير الشريوفي,TRUE,,تم
Amani Alhudaithi,اماني الحديثي,FALSE,لايوجد,تم
Hussain Al-Baqshi,حسين البقشي,TRUE,على سناب فقط,تم
Munya Alsanea,منيه الصانع,TRUE,,تم
Sultan Alfisal,سلطان الفيصل,TRUE,على سناب وانستقرام,تم
khawatir alkhuytir,خواطر الخويطر,TRUE,سناب و انستقرام فقط,تم
Qritm,قريطم,TRUE,,تم
Lujain Hassan,لجين حسن,FALSE,لايوجد,تم
Aziz Alzaid,عزيز الزايد,FALSE,لايوجد,تم
Mohammed Baker,محمد بكر,TRUE,,تم
Bashaer om thamer,بشاير ام ثامر l بشاير العمار,TRUE,,تم
Alya Alobaid,علياء العبيد,TRUE,,تم
Reema Aleayaaf Madrita,ريما العياف مادريتا,TRUE,,تم
Abo aqeel,ابو عقيل,TRUE,,تم
Ghada Alghniman,غاده الغنيمان,TRUE,,تم
Entsar Alshreef,انتصار الشريف,TRUE,,تم
Shoug Algahtani,شوق القحطاني,TRUE,,تم
Latifah Alshamsi,لطيفه الشامسي,FALSE,لايوجد,تم
Najla Abdulaziz,نجلاء عبدالعزيز,TRUE,,تم
Aljohrh Dodani,الجوهرة دوداني,FALSE,,تم
Noor Sharaf,نور شرف,TRUE,,تم
Nayef Alwathlan,نايف الوثلان,TRUE,,تم
Saji 2,ساجي2,TRUE,,تم
Abeer Alomira,عبير العميره,TRUE,,تم
Halima Boland,حليمه بولند,TRUE,,تم
Ham Fc,fchmouda,FALSE,لايوجد,تم
Aljohara A,الجوهره,TRUE,,تم
Houria Muhammed,حوريه المحيميد,FALSE,لايوجد,تم
Arwa Alomarani,اروى العمراني,TRUE,,تم
Om Awrad,ام اوراد,FALSE,,تم
Kohly,كحلي,TRUE,,تم
Ghadeer Alsabti,غدير السبتي,FALSE,لايوجد,تم
Ghada Alharioul,غاده الحريول,TRUE,,تم
Shahad Turki,شهد تركي,TRUE,,تم
Yasmeen Dakheel,ياسمين دخيل,TRUE,,تم
In Makkah Angles,في زوايا مكه,TRUE,,تم
Azoz Thamer,عزوز ثامر,TRUE,,تم
Fatima Alotaibi,فاطمه العتيبي,TRUE,,تم
Hind Abu Hamid,هند ابوحيمد,TRUE,,تم
Ameera Mohammed,اميره محمد,TRUE,,تم
Bader Althyabi,بدر الذيابي,TRUE,,تم
Nouf beauty,نوف بيوتي,FALSE,لايملك,تم
Hissah Alali,حصه العلي,TRUE,,تم
Saud Fahd,سعود فهد,TRUE,,تم
Ahoud Doodi,عهود دودي,TRUE,,تم
Ahlam Alenezi,احلام العنزي,TRUE,,تم
Ahoud,عهود,FALSE,لايملك,تم
Reta bint Mohammed,ريتا بنت محمد,FALSE,لايملك,تم
Bothenah,بثينه,FALSE,لايملك,تم
Dalil Saudi Arabia,دليل السعوديه,TRUE,,تم
Nawaf Aljamea,نواف الجامع,TRUE,,تم
Maryam Mohammad,مريم محمد,TRUE,,تم
Rawan Alqhtani,روان القحطاني,TRUE,,تم
Ziad Almesfer,زياد المسفر l زياد الدوسري,TRUE,,تم
Riva,ريڨا,FALSE,لايملك,تم
Lubna Aldossary,لبنى الدوسري,TRUE,,تم
Snap Alkhafjy,سناب الخفجي,FALSE,لايملك,تم
Mohammad Yamani,محمد يماني,TRUE,,تم
Njoud Alharigy,نجود الحريقي,TRUE,,تم
Sarah Alshli,ساره السهلي,TRUE,,تم
Arwa DHL,اروى,TRUE,,تم
Trendy Taraf,ترندي ترف,TRUE,,تم
Enas Alrdiaan,ايناس الرديعان,TRUE,,تم
Lateefa turki,لطيفه تركي,TRUE,,تم
I Aziz,ايام عزيز,TRUE,,تم
Dr.kholoud,دكتوره خلود,TRUE,,تم
Mayonezah,مايونيزه,FALSE,معلق,تم
Abdulaziz Alqassem,عبد العزيز القاسم,TRUE,,تم
Bint Alhaashmi,بنت الهاشمي,FALSE,لايملك,تم
Mohsen Alharthi,محسن الحارثي,TRUE,,تم
Amal Abdulmohsin,امل عبدالمحسن,TRUE,,تم
Mona Alzahraani,منى الزهراني,TRUE,,تم
Maryam Alansari,مريم الانصاري,TRUE,,تم
Ebrahim Mohammed,ابراهيم محمد,TRUE,,تم
Shams Alastorh,شمس الاسطوره,TRUE,,تم
Alblwy,البلوي,TRUE,,تم
Hyat Wardyah,حياة ورديه,TRUE,,تم
Afnan Alnamlah,افنان النمله,TRUE,,تم
Mohammed Alfasel,محمد الفاصل,TRUE,,تم
Hana Alzhrani,حنان الزهراني,TRUE,,تم
Zuhoor Saoud,زهور سعود,TRUE,,تم
Nawaf Alrdad,نواف الرداد,FALSE,لايملك,تم
Maha Alshabib,مها الشبيب,TRUE,,تم
Bashayr Alshehri,بشاير الشهري,TRUE,,تم
Gorgeous,قورجس,TRUE,,تم
Amjad Altamimi,امجاد التميمي,TRUE,,تم
Jonngz,جونقز,TRUE,,تم
Dr. Batoul,دكتوره بتول,TRUE,,تم
Hamad & Azazi,حمد و عزازي,TRUE,,تم
